"","x","year","location","ann_avg_ozone","age_adj_lung"
"1",1,2010,"Nantou County",25.75,27.87
"2",2,2010,"Chiayi City",26.2,35.04
"3",3,2010,"Chiayi County",30.15,38.33
"4",4,2010,"Keelung County",27,34.4
"5",5,2010,"Yilan County",28.08,48.89
"6",6,2010,"Pingtung County",33.9,27.62
"7",7,2010,"Changhua County",25.95,36.53
"8",8,2010,"New Taipei City",27.67,39
"9",9,2010,"Hsinchu City",25.9,32.96
"10",10,2010,"Hsinchu County",29.75,31.39
"11",11,2010,"Taoyuan City",27,34.53
"12",12,2010,"Taichung City",28,33.62
"13",13,2010,"Taipei City",23.18,33.55
"14",14,2010,"Tainang City",29,36.91
"15",15,2010,"Taitung County",28.6,37.38
"16",16,2010,"Hualien County",24.5,28.74
"17",17,2010,"Miaoli County",29.7,29.59
"18",18,2010,"Yunlin County",28.65,31.69
"19",19,2010,"Kaohsiung City",26.65,33.9
"20",20,2011,"Nantou County",26.95,28.74
"21",21,2011,"Chiayi City",26.7,41.24
"22",22,2011,"Chiayi County",31.5,36.4
"23",23,2011,"Keelung County",31.5,36.91
"24",24,2011,"Yilan County",28.78,37.85
"25",25,2011,"Pingtung County",33.03,29.39
"26",26,2011,"Changhua County",28.3,37.11
"27",27,2011,"New Taipei City",29.22,38.77
"28",28,2011,"Hsinchu City",28.9,29.01
"29",29,2011,"Hsinchu County",31.5,31.07
"30",30,2011,"Taoyuan City",28.58,38.29
"31",31,2011,"Taichung City",30.75,34.81
"32",32,2011,"Taipei City",24.74,33.37
"33",33,2011,"Tainang City",29.83,35.84
"34",34,2011,"Taitung County",28.1,40.8
"35",35,2011,"Hualien County",24.9,31.96
"36",36,2011,"Miaoli County",29.95,29.37
"37",37,2011,"Yunlin County",29.9,33.1
"38",38,2011,"Kaohsiung City",27.65,33.83
"39",39,2012,"Nantou County",25.95,29.71
"40",40,2012,"Chiayi City",27.5,35.15
"41",41,2012,"Chiayi County",30.4,38.43
"42",42,2012,"Keelung County",31.3,35.39
"43",43,2012,"Yilan County",28.85,37.14
"44",44,2012,"Pingtung County",32.67,30.91
"45",45,2012,"Changhua County",28.65,40.16
"46",46,2012,"New Taipei City",29.19,41.21
"47",47,2012,"Hsinchu City",27.9,30.02
"48",48,2012,"Hsinchu County",31.5,26.46
"49",49,2012,"Taoyuan City",28.88,35.65
"50",50,2012,"Taichung City",30.23,37.02
"51",51,2012,"Taipei City",24.88,33.49
"52",52,2012,"Tainang City",28.55,37.14
"53",53,2012,"Taitung County",28,30.61
"54",54,2012,"Hualien County",23.9,33.02
"55",55,2012,"Miaoli County",30.45,27.71
"56",56,2012,"Yunlin County",30.05,36.07
"57",57,2012,"Kaohsiung City",26.15,35.8
"58",58,2013,"Nantou County",27.4,30.3
"59",59,2013,"Chiayi City",27.8,37.74
"60",60,2013,"Chiayi County",30.75,37.31
"61",61,2013,"Keelung County",30.5,37.52
"62",62,2013,"Yilan County",30.5,39.3
"63",63,2013,"Pingtung County",33.5,33.06
"64",64,2013,"Changhua County",29.25,37.03
"65",65,2013,"New Taipei City",29.53,39.35
"66",66,2013,"Hsinchu City",30.5,34.3
"67",67,2013,"Hsinchu County",31.7,27.86
"68",68,2013,"Taoyuan City",29.3,35.52
"69",69,2013,"Taichung City",30.8,34.64
"70",70,2013,"Taipei City",25,33.43
"71",71,2013,"Tainang City",29.56,34.2
"72",72,2013,"Taitung County",28.2,35.27
"73",73,2013,"Hualien County",24.2,37.89
"74",74,2013,"Miaoli County",29.85,29.43
"75",75,2013,"Yunlin County",29.75,38.63
"76",76,2013,"Kaohsiung City",27.1,34.51
"77",77,2014,"Nantou County",27.55,32.31
"78",78,2014,"Chiayi City",27.55,38.72
"79",79,2014,"Chiayi County",30.53,35.68
"80",80,2014,"Keelung County",30.78,37.62
"81",81,2014,"Yilan County",30.75,40.06
"82",82,2014,"Pingtung County",35.67,31.23
"83",83,2014,"Changhua County",29.06,41.04
"84",84,2014,"New Taipei City",29.47,40.34
"85",85,2014,"Hsinchu City",29.33,35.6
"86",86,2014,"Hsinchu County",32.14,31.65
"87",87,2014,"Taoyuan City",29.15,35.53
"88",88,2014,"Taichung City",30.23,34.31
"89",89,2014,"Taipei City",26,34.52
"90",90,2014,"Tainang City",30.51,36.18
"91",91,2014,"Taitung County",28.97,38.82
"92",92,2014,"Hualien County",25.82,29.05
"93",93,2014,"Miaoli County",30.42,29.07
"94",94,2014,"Yunlin County",28.73,37.4
"95",95,2014,"Kaohsiung City",29.08,37.54
"96",96,2015,"Nantou County",26.93,27.25
"97",97,2015,"Chiayi City",28.07,37.83
"98",98,2015,"Chiayi County",29.07,36.18
"99",99,2015,"Keelung County",31.69,34.8
"100",100,2015,"Yilan County",29.94,39.15
"101",101,2015,"Pingtung County",33.71,33.8
"102",102,2015,"Changhua County",28.36,39.05
"103",103,2015,"New Taipei City",29.19,39.41
"104",104,2015,"Hsinchu City",29.28,40.97
"105",105,2015,"Hsinchu County",31.65,31.04
"106",106,2015,"Taoyuan City",29.4,34.38
"107",107,2015,"Taichung City",28.2,38.6
"108",108,2015,"Taipei City",26.63,36.69
"109",109,2015,"Tainang City",29.63,39.06
"110",110,2015,"Taitung County",28.25,36.24
"111",111,2015,"Hualien County",27.55,31.94
"112",112,2015,"Miaoli County",29.84,29.8
"113",113,2015,"Yunlin County",27.12,40.12
"114",114,2015,"Kaohsiung City",29.23,36.78
"115",115,2016,"Nantou County",24.73,30.25
"116",116,2016,"Chiayi City",26.28,41.5
"117",117,2016,"Chiayi County",29.34,40.06
"118",118,2016,"Keelung County",29.5,35.55
"119",119,2016,"Yilan County",27.13,40.13
"120",120,2016,"Pingtung County",32.1,33.02
"121",121,2016,"Changhua County",27.49,44.1
"122",122,2016,"New Taipei City",27.46,39.63
"123",123,2016,"Hsinchu City",28.05,34.9
"124",124,2016,"Hsinchu County",29.68,34.97
"125",125,2016,"Taoyuan City",27.63,35.89
"126",126,2016,"Taichung City",27.64,37.7
"127",127,2016,"Taipei City",24.77,37.31
"128",128,2016,"Tainang City",27.38,38.08
"129",129,2016,"Taitung County",23.99,35.46
"130",130,2016,"Hualien County",26.49,31.22
"131",131,2016,"Miaoli County",28.77,31.05
"132",132,2016,"Yunlin County",28.16,38.11
"133",133,2016,"Kaohsiung City",27,35.86
"134",134,2017,"Nantou County",26.2,34.88
"135",135,2017,"Chiayi City",28.1,38.66
"136",136,2017,"Chiayi County",32.51,39.56
"137",137,2017,"Keelung County",32.41,37.32
"138",138,2017,"Yilan County",30.4,37.85
