"","year","county","waste_recycled_muni","locomobiles_density","automobiles_density","factory_density","urban_density","hospital_bed","rate_material_recov","employee_industrial","family_income","oral","breast","liver","ovarian","smoke","no2","co","lung","ozone","revenue","pm","so2"
"145",2006,"南投縣",53698,79.01,44.83,"...",2269.27,60.31,100,30.48,23.57,37,24.1,40.36,4.48,25.2331,16.52,0.52,37.56,3,187559,"60.2","3.2"
"146",2006,"嘉義市",13155,3116.65,1384.39,"...",4990.46,140.77,100,26.67,25.57,25.7,36.72,69.03,3.3,21.8423,17.54,0.5,38.55,1,189626,"82.5","3.8"
"147",2006,"嘉義縣",27509,180.49,89.84,"...",1394,62.74,100,32.3,18.1,35.75,27.26,82.15,5.42,23.99,12.89,0.39,59.04,3,175668,"84.9","3.55"
"148",2006,"基隆市",49490,1352.71,673.8,"...",5226.16,67.22,100,28.62,14.37,22.53,32.77,54.01,5.63,24.7988,18.09,0.52,47.62,1,214802,"80.5","5.3"
"149",2006,"宜蘭縣",46105,128.42,61.53,"...",3878.59,90.44,99.56,32.64,15.97,16.94,27.37,70.59,4.78,25.365,12.38,0.47,53.86,2,187908,"101.7","5.93"
"150",2006,"屏東縣",57528,235.8,90.5,"...",3148.54,68.28,99.74,28.64,23.23,33.01,29.88,52.49,5.04,21.0414,11.22,0.39,37.83,4,195483,"86.4","3.67"
"151",2006,"彰化縣",78583,788.05,392.72,"...",5458.85,56.27,99.99,45.17,21.49,36.5,25.09,47.76,3.35,22.9929,16.86,0.45,43.42,4,186113,"96.3","4.25"
"152",2006,"新竹市",54919,2261.58,1231.61,"...",7064.18,59.81,100,43.13,17.04,14.95,30.91,42.56,4.31,20.0102,20.07,0.54,34.7,1,274014,"67.8","4"
"153",2006,"新竹縣",35875,168.97,118.02,"...",5260.52,46.44,99.52,52.51,23.6,11.28,26.45,26.86,2.26,26.1811,14.71,0.42,30.76,2,217382,"64.4","3.05"
"154",2006,"桃園市",36818.1666666667,148.998333333333,102.166666666667,NA,4734.43166666667,60.6416666666667,99.6,47.725,24.43,16.06,26.2883333333333,29.7683333333333,2.60666666666667,25.6309,14.3133333333333,0.43,32.7766666666667,1.83333333333333,215435.166666667,"84.1","3.64"
"155",2006,"臺中市",37761.3333333333,129.026666666667,86.3133333333333,NA,4208.34333333333,74.8433333333333,99.68,42.94,25.26,20.84,26.1266666666667,32.6766666666667,2.95333333333333,25.0807,13.9166666666667,0.44,34.7933333333333,1.66666666666667,213488.333333333,"103.5","4.6"
"156",2006,"臺北市",38704.5,109.055,70.46,NA,3682.255,89.045,99.76,38.155,26.09,25.62,25.965,35.585,3.3,24.5305,13.52,0.45,36.81,1.5,211541.5,"62.8","4.56"
"157",2006,"臺南市",39647.6666666667,89.0833333333333,54.6066666666667,NA,3156.16666666667,103.246666666667,99.84,33.37,26.92,30.4,25.8033333333333,38.4933333333333,3.64666666666667,23.9803,13.1233333333333,0.46,38.8266666666667,1.33333333333333,209594.666666667,"132.3","7.75"
"158",2006,"臺東縣",40590.8333333333,69.1116666666667,38.7533333333333,NA,2630.07833333333,117.448333333333,99.92,28.585,27.75,35.18,25.6416666666667,41.4016666666667,3.99333333333333,23.4301,12.7266666666667,0.47,40.8433333333333,1.16666666666667,207647.833333333,"56.8","2.3"
