year,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣,連江縣,金門縣
2006,18.09,26,20.02,21.05,20.07,14.71,13.7,19.72,16.86,16.52,13.93,17.54,12.89,16.81,20.05,11.22,12.38,12.33,6.64,NA,NA,NA
2007,15.3,25.9,20.1,20.8,18.8,13.3,13.9,19.3,16.8,16.5,14.2,17.2,13.1,16.8,20.1,10.9,12.1,11.8,6.7,NA,NA,NA
2008,13.6,24.3,18.9,19.6,18.2,13,14.1,18.4,16.5,16.2,14,17.3,12.3,15.4,19.6,9.5,10.5,11.6,6.5,NA,NA,NA
2009,12.5,22.2,17.3,18,17,12.3,14,18.8,16.3,15.9,13.6,17.6,12.1,15,18.5,9.8,9.7,10.8,5.7,NA,NA,NA
2010,13.9,25,18.7,19.5,18.4,13.1,13.5,19.2,16.7,15.7,14.2,17.8,12.5,15.4,19,9.8,9.8,10,6.6,NA,NA,NA
2011,12.2,23.3,17.2,17.8,16.4,12.6,13.1,17.6,14.5,16.2,13.6,16.6,11.3,14.2,18.1,9.1,9.6,10.1,6.4,NA,NA,NA
2012,11.4,21.6,16,16.8,15.9,12,12.5,16.7,13.6,14.9,12.8,15.2,11,14.3,17.5,8.3,9.1,10.2,6.5,4.2,6.1,12.8
2013,1.6,21.5,16.1,16.2,15.4,11.4,11.9,15.9,13.3,14.3,12.2,14.8,11,14,17.4,8.3,8.5,9.6,5.6,4.3,6.2,11.8
2014,12.1,21.8,16.6,16.9,15.9,11.6,11.9,15.6,12.7,14.2,12.3,14.7,10.9,13.8,16.8,8.6,9,9.3,5.1,3.9,6.2,11.1
2015,10.83,20.41,15.85,15.36,15.21,10.94,11.72,15.41,12.17,13.94,12.52,13.24,10.32,12.71,15.71,8.36,8.27,7.84,5.49,3.69,5.84,10.18
2016,10.96,20.02,15.6,15.64,15.26,10.52,11.52,15.26,12.09,13.21,12.11,13.3,10.08,12.9,15.89,8.5,8.11,7.01,5.4,4.43,5.86,10.83
2017,10.46,19.69,14.64,14.85,13.77,9.58,10.06,14.35,11.47,13.2,11.46,13.71,9.57,12.17,15.13,8.56,7.58,6.52,5,3.81,5.79,10.13
2018,10.35,17.75,13.67,14.48,13.37,9.55,9.83,13.96,11.22,12.7,10.86,13.93,9.53,11.74,14.28,8.08,6.48,5.9,5.09,3.59,4.97,9.77
2019,9.51,16.74,12.74,13.45,11.85,8.52,9.13,13.15,10.85,12.09,10.28,13.14,8.98,11.18,13.25,7.18,6.14,6.08,4.58,NA,5.93,9.53
2020,8.57,15.69,12.41,12.74,10.85,7.63,8.42,11.86,9.98,11.35,9.31,12.11,8.32,10.46,12.55,6.99,6.02,5.37,4.39,2.69,6.79,8.59
