year,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,基隆市,新竹市,嘉義市
1998,5.78,-,-,-,1.55,5.63,2.85,4,4.6,2.05,4.17,3.5,3.45,0.4,0.7,6.9,4.9,5.3
1999,5.49,-,-,-,1.6,5.43,2.65,3.7,4.1,1.9,3.33,3.15,3.55,0.3,0.6,5,4.4,4.6
2000,4.11,-,-,-,1.5,4.8,2.5,2.65,3.3,2.25,3.15,2.45,2.43,0.4,0.6,5.4,4.2,3.6
2001,3.42,-,-,-,1.5,4.73,2.2,2.4,3.75,2.1,3.3,2.55,2.33,0.5,0.6,4.8,3.9,3.9
2002,2.88,3.06,4.08,7.01,1.55,4.7,2.25,2.45,3.95,2.1,2.7,2.45,1.83,0.4,0.7,3.9,4.1,3.3
2003,2.68,3.24,3.33,6.88,1.15,4.37,2.25,2.1,4.65,1.9,2.35,2.3,1.9,0.3,0.7,3,3.7,3
2004,3.46,3.76,4.08,7.66,1.6,5.38,3.1,2.9,3.85,2.65,3.1,3.05,2.97,1,0.9,4.8,4.3,3.8
2005,4.88,4.08,5.68,9.44,2.7,6.58,3.45,4.1,4.55,3.4,3.75,3.3,4.03,2.2,2.3,6.1,4.1,3.7
2006,4.56,3.64,4.6,7.75,2.6,5.93,3.05,3.75,4.25,3.2,3.8,3.55,3.67,2.3,2.1,5.3,4,3.8
2007,4.36,3.76,4.48,7.73,3.05,5.48,3.1,3.7,4,3.2,3.5,3.55,3.53,1.9,2.2,3.9,4.3,4.1
2008,4.08,3.52,4.35,7.15,2.65,5.63,3.3,3.55,3.9,3.3,3.4,3.6,3.5,2.3,2.1,3.3,4.5,4.2
2009,3.34,3.48,3.95,6.99,2.65,5.15,3.2,3.15,3.55,3.1,3.3,3.35,3.53,2.1,2.4,2.8,3.2,4.1
2010,3.38,3.46,4.18,6.86,2.45,5.43,3.1,3.1,3.75,2.95,3.3,3.3,3.33,2,2.2,3,3.8,4
2011,3.04,3.3,3.95,6.38,2.2,4.65,2.8,3,4.05,2.85,3.15,3.3,3,1.8,2,2.6,3.4,4
2012,2.66,2.9,3.38,5.3,1.95,4.43,2.8,2.5,3.5,2.5,3,2.9,2.37,1.3,1.5,2.2,3.1,3.5
2013,2.98,3.16,3.58,5.23,2.2,4.45,3,2.55,3.7,2.55,3.3,3.1,2.53,1.3,1.6,2.5,3,3.4
2014,2.98,3.12,3.59,5.01,2.17,4.24,2.89,2.73,3.77,2.59,3.34,3.18,2.6,1.34,1.78,2.55,2.68,3.42
2015,3.06,3.65,2.9,3.06,4.38,2.29,2.7,2.71,3.7,2.52,3.17,2.94,2.31,1.35,1.78,2.52,2.63,3.07
2016,2.69,3.5,2.63,2.89,4.51,2.12,2.56,2.38,3.47,2.59,2.93,2.81,2.14,1.29,1.72,2.47,2.48,3.14
2017,2.76,3.42,2.62,2.79,4.16,1.91,2.36,2.32,3.4,2.31,2.82,2.82,2.45,1.23,1.68,2.3,2.3,3.41
2018,2.4,3.5,2.47,2.65,3.68,1.93,2.32,2.42,3.5,2.21,2.65,2.7,2.23,1.22,1.63,2.32,2.04,3.45
2019,1.97,3.04,2.16,2.38,2.99,1.77,1.88,2.25,2.91,2.08,2.32,2.35,1.79,1.23,1.36,1.67,2.04,2.53
2020,1.87,2.74,2.06,2.29,2.65,1.78,1.78,1.98,3.13,1.87,2.21,2.22,1.57,1.16,1.21,1.65,2,2.19
