year,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,2.29,2.3,9.52,7.22,7.07,7.4,4.08,1.99,0.47,1.03,1.13,7.7,0.25,1.19,0.91,0.33,0.07,0.1,0.71,2.35,16.08,9.1,0.16,-
1999,2.29,2.3,9.54,7.28,7.23,7.42,4.05,2.02,0.47,1.03,1.09,7.78,0.25,1.18,0.89,0.32,0.07,0.1,0.73,2.27,15.67,9.33,0.15,-
2000,2.28,2.29,9.69,7.32,7.44,7.24,3.98,2,0.45,1.04,1.04,7.5,0.24,1.15,0.88,0.31,0.07,0.09,0.76,2.25,15.71,9.16,0.16,0.03
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,2.05,2.06,8.94,5.84,6.95,6.2,3.63,1.89,0.38,0.94,0.9,6.81,0.15,1,0.86,0.29,0.06,0.09,0.74,1.86,14.45,8.13,0.25,0.07
2003,2.12,2.13,9.26,5.59,7.41,6.56,3.7,1.94,0.38,1,0.89,6.87,0.17,1.05,0.86,0.29,0.05,0.08,0.75,1.95,14.31,8,0.46,0.07
2004,2.14,2.15,9.29,5.37,7.61,6.65,3.73,1.98,0.39,1.01,0.9,7.03,0.18,1.04,0.88,0.28,0.05,0.08,0.75,1.87,14.23,7.76,0.54,0.07
2005,2.15,2.16,9.31,5.11,7.68,6.67,3.75,2.01,0.38,1.04,0.9,7.13,0.18,1.05,0.87,0.29,0.06,0.08,0.76,1.84,14.02,7.6,0.53,0.07
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,2.14,2.15,9.06,4.63,7.73,6.72,3.75,2.07,0.39,1.06,0.88,7.16,0.19,1.04,0.86,0.3,0.06,0.08,0.78,1.78,13.79,7.45,0.53,0.1
2008,2.15,2.15,8.91,4.44,7.77,6.8,3.77,2.08,0.4,1.07,0.89,7.19,0.19,1.06,0.85,0.31,0.05,0.08,0.77,1.75,13.59,7.41,0.54,0.1
2009,2.14,2.15,8.83,4.3,7.8,6.74,3.77,2.09,0.41,1.07,0.88,7.17,0.2,1.08,0.84,0.31,0.06,0.08,0.8,1.81,13.05,7.18,0.53,0.1
2010,2.16,2.16,8.88,4.25,7.96,6.81,3.79,2.09,0.41,1.08,0.88,7.28,0.2,1.11,0.84,0.33,0.06,0.08,0.79,1.88,12.88,7.23,0.52,0.1
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,2.19,0.83,8.97,4.26,8.2,6.95,3.77,2.14,0.42,1.11,0.89,7.64,0.2,1.18,0.82,0.34,0.05,0.08,0.79,1.85,12.63,7.18,0.53,0.14
2013,2.24,2.25,8.83,4.18,8.35,7.23,3.8,2.24,0.42,1.12,0.91,8.1,0.2,1.3,0.83,0.36,0.05,0.08,0.78,1.93,12.54,7.23,0.48,0.1
2014,2.27,2.27,8.82,4.14,8.37,7.44,3.87,2.31,0.43,1.15,0.92,8.19,0.21,1.33,0.77,0.38,0.05,0.07,0.79,1.9,12.4,7,0.5,0.1
2015,2.31,2.32,8.89,4.04,8.43,7.65,3.93,2.37,0.44,1.17,0.92,8.55,0.21,1.35,0.75,0.42,0.05,0.07,0.75,1.93,12.07,7.1,0.49,0.14
2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,2.41,2.42,8.92,3.87,8.68,8.25,4.08,2.51,0.46,1.21,0.97,9.26,0.2,1.45,0.8,0.49,0.05,0.07,0.69,1.9,11.64,7.23,0.47,0.14
2018,2.45,2.46,8.94,3.66,8.98,8.44,4.11,2.55,0.46,1.25,0.99,9.55,0.23,1.5,0.83,0.5,0.05,0.07,0.7,1.88,11.44,7.13,0.49,0.14
2019,2.5,2.51,8.97,3.69,9.19,8.58,4.18,2.62,0.48,1.27,1.01,9.91,0.23,1.58,0.84,0.51,0.05,0.08,0.65,1.89,11.4,7.06,0.5,0.14
2020,2.51,2.52,8.93,3.6,9.35,8.57,4.18,2.64,0.49,1.29,1,10.07,0.22,1.61,0.85,0.52,0.05,0.08,0.61,1.89,11.36,7.03,0.44,0.14
2021,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
