year, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 基隆市, 新竹市, 嘉義市
1998,28.98,81.41,66.14,52.44,53.09,61.33,87.99,40.7,53.35,40.67,58.68,28.09,26.2,54.12,51.05,226.67,58.39,58.02,121.99
1999,29.39,79.28,66.83,56.24,54.44,60,80.62,43.39,56,40.33,51.49,31.61,31.71,63.02,51.29,126.83,57.4,54.32,120.14
2000,26.44,79.71,68.26,58.32,56.04,61.08,86.78,43.07,61.01,42.46,64.67,34.84,46.68,60.14,52.46,119.67,54.99,49.7,131.94
2001,26.98,80.95,69.48,61.14,56.05,60.94,81.84,41.97,55.51,41.42,51.77,37.33,49.65,60.17,53.72,122.05,63.89,49.85,122.91
2002,27.7,83.58,69.91,64.25,56.17,63.76,84.44,43.23,55.73,42.08,53.21,41.67,58.39,65.12,53.7,125.63,65.37,64.52,128.96
2003,27.77,84.99,70.91,66.58,58.21,66.49,86.45,45.51,54.43,44.12,53.41,39.61,60.72,62.38,58.93,121.6,65.44,65.89,131.2
2004,29.43,86.42,75.45,69.33,62.71,72.5,86.87,46.55,57.24,45.6,57.93,41.95,64.89,64.52,57.37,132.49,66.55,62.82,132.76
2005,32.68,83.48,76.4,70.36,64.14,73.42,87.85,47.5,60.47,50.78,58.44,41.8,63.7,67.34,59.01,133.34,64.82,60.51,135.66
2006,33.8,82.78,75.52,72.56,64.9,73.68,90.44,46.44,59.32,56.27,60.31,43.31,62.74,68.28,60.05,131.65,67.22,59.81,140.77
2007,34.84,85.49,72.7,73.39,65.02,73.55,93.61,45.52,60.3,55.49,61.02,47.18,61.59,67.18,63,130.41,68.37,62.83,143.7
2008,37.47,88.69,72.18,72.51,64.9,73.22,91.95,45.03,64.26,60.83,61.65,49.08,52.27,66.7,66.51,129.98,68.38,59.53,148.25
2009,40.15,91.2,72.51,74.17,65.46,74.41,91.44,46.78,65.17,60.19,62.69,52.78,59.89,68.09,68,130.16,68.47,59.7,147.85
2010,40.97,92.49,73.23,73.84,64.56,75.44,92.29,46.49,65.16,61.12,65.41,56.52,62.66,70.17,69.58,134.65,68.18,60.79,147.29
2011,42,93.05,72.79,75.63,63.55,75.56,94.32,44.9,64.73,61.01,64.96,56.1,63.17,71.51,72.1,135.02,70.54,62.09,150.67
2012,42.21,92.84,72.31,75.03,63.53,75.51,93.2,44.54,62.33,60.37,65.84,56.33,63.12,73,73.41,134.31,74.56,62.58,153.6
2013,41.13,90.23,72.35,74.75,63.84,74.74,91.52,43.81,58.63,59.87,64.07,56.27,65,71.49,69.61,135.04,76.74,63.97,152.99
2014,42.85,92.14,72.52,75.84,65.69,75.42,84.75,43.45,60.34,59.6,64.07,56.82,64.67,69.04,69.27,134.65,78.8,65.6,146.59
2015,43.29,92.59,70.43,76.05,67.42,76.57,84.98,45.13,58.89,59.31,64.46,57.37,64.92,68.53,67.7,131.41,79.01,65.11,143.84
2016,43.87,93.02,69.52,76.39,68.08,77.99,85.37,44.48,58.94,59.28,64.81,56.33,66.23,67.53,67.75,132.21,78.42,64.05,146.11
2017,45.11,94.02,68.8,77.65,68.34,78.31,85.17,43.56,61.28,59.42,66.62,56.14,66.34,68.2,69.28,131.73,77.67,62.91,148.92
2018,46.79,95.42,68.41,78.67,70.15,80.36,85.74,46.07,60.98,62.3,68.21,56.72,65.89,68.89,68.79,133.18,78.4,63.17,148.72
2019,46.98,95.96,67.34,79.67,70.58,80.9,85.91,49.53,62.11,62.05,68.53,56.76,66.43,70.07,69.38,130.94,77.69,63.19,149.05
2020,48.38,98.09,67.08,78.62,70.88,81.6,86.14,53.54,63.23,63.81,69.68,57.78,67.35,71.25,70.57,133.12,79.09,62.65,150.64
