year,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,基隆市,新竹市,嘉義市
2009,78.7,67.5,67.9,66,95.1,110.3,49.3,65.5,89.2,53.9,89,73,110.4,81,72.6,58.7,57.5,67.8,61.4,87.6
2010,72.4,70.9,58.8,61.1,77.2,95.1,54.5,55.2,83.8,54.5,107.7,57.6,93.3,72.6,74,64.1,50.3,76.6,57.5,68.3
2011,71.3,57.2,58.9,80.5,90.8,93.3,50,60.1,63.5,59.2,73.8,66.9,84.8,83.2,76.5,63.9,49.3,60.2,41.9,83.9
2012,63.2,53.1,55.1,88.9,79.7,78.4,45.7,50.7,57.9,44.7,60.1,62.4,65.9,70.8,72.4,64,40.7,54.6,38.6,74.8
2013,63.3,57.1,49,78.5,76.7,79.8,41.7,57.4,53.3,48.5,56.7,62.8,84.9,60.7,88.7,63.95,39.6,60,63.8,74.6
2014,58.1,55.2,39.8,57.9,71.7,76.8,41.8,59.1,55.9,49.7,53.6,57.5,63.5,53.5,84.1,29.7,47.4,46.1,66.4,67.9
2015,52.9,46.8,38.4,54.9,51.3,64.5,63.2,46.3,58.9,48.3,64.6,60.1,61.3,44.6,65.7,39.4,32.8,45.3,63.5,65.9
2016,46.7,39.7,39.1,50.7,38.3,49.1,57.8,35,51.9,48.8,52.2,53.3,49.6,41.4,53.2,33.1,32.6,42.3,51.7,58.6
2017,48.6,40.7,38.7,57.7,43.9,48.3,64.4,36.5,47.8,41.9,54.2,48.8,61.2,58.3,56.25,34,32.3,51.7,19.8,63.7
2018,46.1,41.7,31.9,44.5,42.8,53.6,59.4,36.7,38.4,45.5,44.6,35.9,49.2,57.5,59.3,37.1,24.8,41.3,46,56.4
