year, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 基隆市, 新竹市, 嘉義市
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,100,66.24,99.96,93.63,98.43,71.96,88.2,88.45,96.21,81.55,55.22,69.43,78.07,70.84,84.29,100,98.07,100
2001,100,66.23,99.74,97.23,99.33,70.5,89.33,90.37,98.15,93.32,78.19,87.9,98.18,72.87,84.08,100,99.91,100
2002,99.97,85.45,98.4,97.64,99.91,74.37,90.24,96.31,99.63,94.67,90.46,93.16,96.83,83.95,88.95,100,99.71,100
2003,100,94.32,99.45,98.35,100,80.74,93.28,100,100,97.48,92.34,97.67,98.76,87.28,95.1,100,100,100
2004,100,97.15,99.94,98.41,99.96,96.43,93.18,100,100,99.31,91.28,97.88,99.71,93.23,99.81,100,100,100
2005,100,98.29,100,99.04,99.99,99.99,95.85,100,100,99.71,96.36,100,99.85,95.08,100,100,100,100
2006,99.98,99.45,100,99.89,99.75,99.56,99.52,98.43,99.99,100,98.91,100,99.74,97.13,100,100,100,100
2007,100,100,100,100,100,100,85.43,95.03,99.91,99.92,100,100,99.85,97.45,99.81,100,100,100
2008,100,100,100,100,100,100,100,100,100,99.98,100,100,100,99.12,99.95,100,100,100
2009,100,100,100,100,100,100,100,100,100,100,99.35,100,100,100,100,100,100,100
2010,100,100,100,100,99.92,100,100,99.23,100,100,100,100,100,100,100,100,100,100
2011,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2012,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99,100,100,100
2013,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2014,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2015,100,100,100,100,100,100,100,100,99.99,100,99.19,100,100,100,99.99,100,100,100
2016,100,96.56,99.94,100,100,100,97.59,100,98.99,92.41,95.35,100,99.92,99.83,97.8,100,100,100
2017,100,98.78,98.69,100,100,100,88.7,99.97,100,91.83,87.46,100,99.94,99.79,93.45,100,100,100
2018,100,95.45,98.88,100,100,100,89.91,100,100,76.19,78.39,100,100,98.21,93.5,100,100,100
2019,100,91.04,98.82,100,100,100,83.73,99.92,100,64.39,70.32,100,99.99,97.18,89.94,100,100,100
2020,100,85.89,99.84,100,100,100,78.8,99.91,100,60.2,63.45,100,99.13,96.58,86.9,100,100,100
